#     Step          Temp           Pot           Kin           Tot         Press
       252      0.969865       -1.4216      0.848632     -0.572966     -0.745716
       253      0.970428      -1.42209      0.849124     -0.572967     -0.757265
       254       0.97097      -1.42257      0.849599     -0.572967     -0.767826
       255      0.971482      -1.42301      0.850047     -0.572968     -0.777366
       256      0.971948      -1.42342      0.850454     -0.572969     -0.785843
       257       0.97235      -1.42378      0.850807     -0.572971     -0.793205
       258      0.972669      -1.42406      0.851085     -0.572972      -0.79939
       259      0.972941      -1.42434      0.851324     -0.573014      -0.80445
       260      0.973137      -1.42451      0.851495     -0.573016     -0.808164
       261      0.973163      -1.42454      0.851518     -0.573018     -0.810448
       262      0.972987      -1.42438      0.851364     -0.573021     -0.811203
       263      0.972569      -1.42402      0.850998     -0.573024     -0.810316
       264      0.971869      -1.42341      0.850386     -0.573027     -0.807668
       265       0.97084      -1.42252      0.849485     -0.573031     -0.803128
       266      0.969433      -1.42129      0.848254     -0.573035     -0.796556
       267      0.967594      -1.41968      0.846644     -0.573039     -0.787804
       268      0.965264      -1.41765      0.844606     -0.573043     -0.776714
       269      0.962383      -1.41513      0.842085     -0.573048     -0.763123
       270      0.958885      -1.41208      0.839025     -0.573053     -0.746865
       271      0.954704      -1.40842      0.835366     -0.573059     -0.727771
       272      0.949771      -1.40411      0.831049     -0.573064     -0.705673
       273      0.944016      -1.39908      0.826014      -0.57307     -0.680413
       274      0.937444      -1.39332      0.820263     -0.573055      -0.65188
       275      0.929992       -1.3868      0.813743      -0.57306     -0.620013
       276      0.921532      -1.37941      0.806341     -0.573065     -0.584614
       277      0.912019      -1.37109      0.798016     -0.573069     -0.545627
       278       0.90142      -1.36182      0.788743     -0.573072     -0.503053
       279      0.889727      -1.35158      0.778511     -0.573074      -0.45696
       280      0.876953      -1.34041      0.767334     -0.573074       -0.4075
       281      0.863143      -1.32832       0.75525     -0.573072     -0.354926
       282      0.848381       -1.3154      0.742333     -0.573068     -0.299604
       283      0.832835      -1.30183      0.728731     -0.573096     -0.242136
       284      0.816676      -1.28768      0.714592     -0.573086     -0.183036
       285      0.800077      -1.27314      0.700068     -0.573073     -0.123099
       286      0.783306      -1.25845      0.685393     -0.573058    -0.0632447
       287      0.766677      -1.24388      0.670842     -0.573039   -0.00452251
       288      0.750542      -1.22974      0.656724      -0.57302     0.0519125
       289      0.735282      -1.21637      0.643372     -0.572999      0.104835
       290       0.72129      -1.20411      0.631129     -0.572978      0.152993
       291      0.708954      -1.19329      0.620335     -0.572958      0.195169
       292      0.698637      -1.18425      0.611307     -0.572941      0.230238
       293      0.690652      -1.17725       0.60432     -0.572927      0.257233
       294      0.685245      -1.17251       0.59959     -0.572918      0.275406
       295      0.682578      -1.17017      0.597256     -0.572915      0.284277
       296      0.682716      -1.17029      0.597376     -0.572917      0.283668
       297      0.685619      -1.17284      0.599917     -0.572925      0.273721
       298      0.691152       -1.1777      0.604758     -0.572937      0.254887
       299      0.699083      -1.18465      0.611698     -0.572954      0.227906
       300      0.709108      -1.19344      0.620469     -0.572974      0.193757
       301      0.720861      -1.20375      0.630754     -0.572996      0.153604
       302      0.733944      -1.21522      0.642201     -0.573019      0.108733
       303       0.74794      -1.22749      0.654447      -0.57304     0.0604851
       304      0.762438      -1.24019      0.667133     -0.573061     0.0101973
       305      0.777049        -1.253      0.679918     -0.573079     -0.040849
       306      0.791419      -1.26559      0.692492     -0.573095      -0.09147
       307      0.805235      -1.27769      0.704581     -0.573108     -0.140609
       308      0.818235      -1.28907      0.715956     -0.573118     -0.187353
       309      0.830205      -1.29955       0.72643     -0.573125     -0.230943
       310      0.840983      -1.30899       0.73586     -0.573129      -0.27077
       311      0.850448      -1.31727      0.744142     -0.573131     -0.306372
       312      0.858525      -1.32434       0.75121     -0.573131      -0.33742
       313      0.865174      -1.33016      0.757027      -0.57313     -0.363705
       314      0.870384      -1.33471      0.761586     -0.573127     -0.385124
       315      0.874171      -1.33802        0.7649     -0.573123     -0.401665
       316      0.876575      -1.34012      0.767003     -0.573119     -0.413397
       317      0.877651      -1.34106      0.767944     -0.573114     -0.420454
       318      0.877467      -1.34089      0.767784     -0.573108     -0.423025
       319      0.876107       -1.3397      0.766593     -0.573102      -0.42135
       320       0.87366      -1.33755      0.764453     -0.573095     -0.415709
       321      0.870227      -1.33454      0.761449     -0.573089     -0.406418
       322      0.865915      -1.33076      0.757675     -0.573082     -0.393825
       323      0.860835       -1.3263       0.75323     -0.573074     -0.378305
       324      0.855106      -1.32129      0.748218     -0.573067     -0.360258
       325      0.848853      -1.31581      0.742746      -0.57306     -0.340105
       326      0.842202      -1.30998      0.736927     -0.573052     -0.318287
       327      0.835286      -1.30392      0.730875     -0.573044     -0.295255
       328      0.828238      -1.29774      0.724708     -0.573036     -0.271473
       329      0.821192      -1.29157      0.718543     -0.573029     -0.247408
       330      0.814282      -1.28552      0.712497     -0.573021     -0.223523
       331      0.807639       -1.2797      0.706684     -0.573014     -0.200274
       332      0.801389      -1.27422      0.701216     -0.573007     -0.178097
       333       0.79565       -1.2692      0.696194     -0.573001     -0.157404
       334       0.79053      -1.26471      0.691714     -0.572996     -0.138571
       335      0.786123      -1.26085      0.687858     -0.572991     -0.121933
       336       0.78251      -1.25768      0.684696     -0.572988     -0.107772
       337      0.779752      -1.25527      0.682283     -0.572985    -0.0963157
       338      0.777893      -1.25364      0.680657     -0.572984    -0.0877265
       339       0.77705      -1.25291      0.679919     -0.572991     -0.082205
       340      0.777225      -1.25306      0.680072     -0.572992    -0.0797497
       341      0.778308      -1.25401      0.681019     -0.572994    -0.0802457
       342      0.780261      -1.25573      0.682728     -0.572997    -0.0835912
       343       0.78303      -1.25815      0.685151     -0.573001    -0.0896247
       344      0.786755      -1.26148      0.688411     -0.573065    -0.0984262
       345      0.791355      -1.26551      0.692435      -0.57307     -0.109549
       346      0.796522      -1.27003      0.696957     -0.573076     -0.122594
       347      0.802156      -1.27497      0.701887     -0.573082     -0.137233
       348       0.80815      -1.28022      0.707131     -0.573088     -0.153122
       349      0.814393      -1.28569      0.712594     -0.573094     -0.169905
       350      0.820777      -1.29128       0.71818       -0.5731     -0.187223
       351      0.827197       -1.2969      0.723797     -0.573106     -0.204724
       352       0.83355      -1.30247      0.729356     -0.573111     -0.222067
       353       0.83974      -1.30789      0.734773     -0.573116     -0.238929
       354       0.84568      -1.31309       0.73997      -0.57312     -0.255008
       355      0.851289        -1.318      0.744878     -0.573124     -0.270028
       356      0.856496      -1.32256      0.749434     -0.573127     -0.283739
       357      0.861238      -1.32671      0.753583      -0.57313     -0.295923
       358      0.865462      -1.33041       0.75728     -0.573132      -0.30639
       359      0.869125      -1.33362      0.760484     -0.573134      -0.31498
       360       0.87219       -1.3363      0.763166     -0.573135     -0.321566
       361      0.874632      -1.33844      0.765303     -0.573136     -0.326051
       362      0.876433      -1.34002      0.766879     -0.573136     -0.328366
       363      0.877583      -1.34102      0.767885     -0.573136     -0.328473
       364      0.878081      -1.34146      0.768321     -0.573136     -0.326363
       365      0.877934      -1.34133      0.768192     -0.573135     -0.322053
       366      0.877154      -1.34064       0.76751     -0.573134     -0.315589
       367      0.875764      -1.33943      0.766294     -0.573132     -0.307044
       368      0.873793       -1.3377      0.764568      -0.57313     -0.296516
       369      0.871274      -1.33549      0.762365     -0.573127     -0.284127
       370      0.868253      -1.33285      0.759721     -0.573124     -0.270025
       371      0.864776       -1.3298      0.756679     -0.573121      -0.25438
       372        0.8609      -1.32641      0.753288     -0.573118     -0.237382
       373      0.856704      -1.32274      0.749616     -0.573126      -0.21928
       374      0.852255      -1.31884      0.745723     -0.573122     -0.200265
       375      0.847608      -1.31477      0.741657     -0.573117     -0.180584
       376      0.842839       -1.3106      0.737484     -0.573113     -0.160495
       377      0.838126      -1.30649       0.73336     -0.573126     -0.140381
       378      0.833547      -1.30248      0.729354     -0.573122     -0.120443
       379      0.829086      -1.29857       0.72545     -0.573117      -0.10089
       380       0.82482      -1.29483      0.721718     -0.573113    -0.0819844
       381       0.82083      -1.29133      0.718226     -0.573108    -0.0639837
       382      0.817187      -1.28814      0.715039     -0.573104    -0.0471289
       383      0.813962      -1.28532      0.712217     -0.573101    -0.0316419
