#     Step          Temp           Pot           Kin           Tot         Press
       225       127.638      -1.28338      0.376941     -0.906437     0.0155919
       226        127.54      -1.28309      0.376653     -0.906437     0.0156112
       227       127.416      -1.28272      0.376285     -0.906436     0.0156327
       228       127.266      -1.28228      0.375842     -0.906435     0.0156672
       229       127.096      -1.28177      0.375339     -0.906434     0.0156988
       230       126.911      -1.28123      0.374794     -0.906432     0.0157418
       231       126.721      -1.28066      0.374233     -0.906429     0.0157841
       232       126.537      -1.28012      0.373688     -0.906427     0.0158326
       233        126.37      -1.27962      0.373196     -0.906425      0.015866
       234       126.234      -1.27922      0.372794     -0.906422     0.0158893
       235        126.14      -1.27894      0.372517      -0.90642     0.0158943
       236       126.099      -1.27882      0.372397     -0.906418     0.0158879
       237       126.121      -1.27888      0.372461     -0.906417     0.0158711
       238        126.21      -1.27914      0.372725     -0.906416     0.0158326
       239       126.371      -1.27962        0.3732     -0.906417     0.0157831
       240       126.602       -1.2803      0.373881     -0.906418       0.01571
       241       126.896      -1.28117      0.374751     -0.906419     0.0156163
       242       127.246      -1.28221      0.375785     -0.906421      0.015506
       243       127.641      -1.28337      0.376949     -0.906424     0.0153837
       244       128.066      -1.28463      0.378204     -0.906427     0.0152464
       245       128.507      -1.28594      0.379508      -0.90643     0.0151274
       246        128.95      -1.28725      0.380815     -0.906432     0.0149916
       247       129.379      -1.28852      0.382084     -0.906434     0.0148558
       248       129.783      -1.28971      0.383277     -0.906436     0.0147348
       249       130.151       -1.2908      0.384364     -0.906437     0.0146169
       250       130.476      -1.29176      0.385323     -0.906438     0.0145154
       251       130.753      -1.29258      0.386142     -0.906438     0.0144254
       252       130.981      -1.29325      0.386814     -0.906437     0.0143489
       253       131.161      -1.29378      0.387345     -0.906436     0.0142906
       254       131.297      -1.29418      0.387748     -0.906435     0.0142382
       255       131.398      -1.29448      0.388045     -0.906433     0.0142013
       256        131.47      -1.29469      0.388259     -0.906432     0.0141602
       257       131.523      -1.29484      0.388414      -0.90643     0.0141373
       258       131.564      -1.29496      0.388534     -0.906429     0.0141178
       259       131.599      -1.29507      0.388639     -0.906428     0.0141132
       260       131.633      -1.29517      0.388739     -0.906428     0.0141045
       261       131.666      -1.29527      0.388838     -0.906428     0.0140998
       262       131.697      -1.29536       0.38893     -0.906429       0.01409
       263       131.721      -1.29543      0.388998      -0.90643     0.0140828
       264       131.729      -1.29545      0.389022     -0.906432     0.0140902
       265       131.712      -1.29541      0.388972     -0.906434     0.0141046
       266       131.659      -1.29525      0.388816     -0.906437     0.0141256
       267       131.561      -1.29497      0.388527     -0.906439     0.0141718
       268       131.408      -1.29452      0.388076     -0.906442     0.0142163
       269       131.193      -1.29388      0.387441     -0.906443      0.014282
       270       130.911      -1.29305      0.386607     -0.906443     0.0143765
       271       130.559      -1.29201      0.385568     -0.906443     0.0144855
       272       130.139      -1.29077      0.384327     -0.906443     0.0146117
       273       129.656      -1.28934      0.382899     -0.906442     0.0147519
       274       129.117      -1.28775      0.381309      -0.90644     0.0149087
       275       128.534      -1.28602      0.379587     -0.906437     0.0150854
       276        127.92      -1.28421      0.377774     -0.906435     0.0152635
       277        127.29      -1.28235      0.375914     -0.906431     0.0154515
       278       126.663      -1.28049      0.374061     -0.906429     0.0156282
       279       126.056      -1.27869      0.372268     -0.906425     0.0157984
       280       125.487      -1.27701      0.370589     -0.906422     0.0159617
       281       124.975       -1.2755      0.369077     -0.906419     0.0161033
       282       124.536       -1.2742      0.367781     -0.906417     0.0162269
       283       124.185      -1.27316      0.366743     -0.906415     0.0163283
       284       123.933      -1.27241      0.365999     -0.906413     0.0163976
       285        123.79      -1.27199      0.365578     -0.906412     0.0164354
       286       123.764      -1.27191        0.3655     -0.906411     0.0164413
       287       123.857      -1.27219      0.365774     -0.906411     0.0164097
       288        124.07      -1.27281      0.366403     -0.906411     0.0163534
       289       124.399      -1.27379      0.367376     -0.906412     0.0162588
       290       124.838      -1.27509      0.368673     -0.906414     0.0161278
       291       125.377      -1.27668      0.370264     -0.906416     0.0159682
       292       126.001      -1.27853      0.372107     -0.906419     0.0157825
       293       126.695      -1.28058      0.374155     -0.906422     0.0155769
       294       127.438      -1.28278      0.376351     -0.906425     0.0153748
       295       128.211      -1.28506      0.378632     -0.906429      0.015161
       296       128.991      -1.28737      0.380937     -0.906432     0.0149415
       297       129.758      -1.28964      0.383202     -0.906435     0.0147174
       298       130.492      -1.29181      0.385369     -0.906437     0.0145025
       299       131.173      -1.29382      0.387382      -0.90644     0.0143005
       300       131.788      -1.29564      0.389197     -0.906442     0.0141239
       301       132.323      -1.29722      0.390776     -0.906443     0.0139666
       302       132.768      -1.29854      0.392092     -0.906443     0.0138315
       303       133.119      -1.29957      0.393129     -0.906443     0.0137218
       304       133.374      -1.30032       0.39388     -0.906443     0.0136451
       305       133.533      -1.30079       0.39435     -0.906442     0.0135963
