#     Step          Temp           Pot           Kin           Tot         Press
       298       2.58362     -0.601302       2.57552       1.97422       2.01989
       299       2.58932     -0.606997        2.5812        1.9742       2.00664
       300       2.59547     -0.613142       2.58733       1.97419       1.99215
       301       2.60179     -0.619456       2.59363       1.97417       1.97711
       302       2.60802     -0.625684       2.59985       1.97416        1.9621
       303       2.61396     -0.631611       2.60577       1.97415       1.94792
       304       2.61942      -0.63706       2.61121       1.97415       1.93467
       305       2.62425     -0.641885       2.61603       1.97414       1.92276
       306       2.62835     -0.645972       2.62011       1.97414       1.91237
       307       2.63161      -0.64923       2.62337       1.97413       1.90375
       308       2.63399     -0.651597       2.62573       1.97413       1.89671
       309       2.63544     -0.653047       2.62718       1.97414       1.89202
       310         2.636     -0.653597       2.62774       1.97414       1.88907
       311       2.63573     -0.653318       2.62746       1.97415       1.88771
       312       2.63474     -0.652328       2.62648       1.97416       1.88833
       313       2.63322     -0.650801       2.62497       1.97417       1.89021
       314       2.63139     -0.648958       2.62314       1.97419        1.8927
       315       2.62951     -0.647063       2.62127        1.9742       1.89535
       316       2.62785     -0.645391       2.61961       1.97422       1.89775
       317       2.62667     -0.644202       2.61843       1.97423       1.89912
       318       2.62617     -0.643704       2.61794       1.97424       1.89908
       319       2.62648     -0.644007       2.61824       1.97424       1.89739
       320       2.62755     -0.645092       2.61932       1.97423       1.89411
       321       2.62925       -0.6468       2.62101       1.97421       1.88961
       322       2.63129     -0.648857       2.62304       1.97419       1.88419
       323       2.63334     -0.650917       2.62508       1.97416       1.87878
       324       2.63504     -0.652633       2.62678       1.97414       1.87441
       325       2.63611      -0.65371       2.62784       1.97413       1.87115
       326       2.63634      -0.65395       2.62808       1.97413       1.86962
       327       2.63566     -0.653273        2.6274       1.97413       1.86998
       328       2.63411     -0.651716       2.62585       1.97414       1.87219
       329       2.63182     -0.649418       2.62357       1.97415        1.8756
       330       2.62902     -0.646609       2.62078       1.97417          1.88
       331       2.62601     -0.643588       2.61778       1.97419       1.88466
       332       2.62314     -0.640696       2.61491       1.97422       1.88893
       333       2.62075     -0.638294       2.61253       1.97424       1.89186
       334       2.61921     -0.636739         2.611       1.97426       1.89295
       335       2.61882      -0.63634       2.61061       1.97427       1.89106
       336       2.61982      -0.63733       2.61161       1.97428       1.88586
       337       2.62234      -0.63984       2.61412       1.97428       1.87719
       338       2.62639     -0.643882       2.61816       1.97428       1.86492
       339       2.63186     -0.649349       2.62361       1.97426       1.84951
       340       2.63856     -0.656037       2.63028       1.97425       1.83114
       341       2.64621     -0.663682       2.63791       1.97423       1.81068
       342       2.65454     -0.672005       2.64622       1.97421        1.7883
       343       2.66329     -0.680739       2.65494        1.9742       1.76518
       344       2.67224     -0.689668       2.66386       1.97419       1.74155
       345       2.68123     -0.698634       2.67282       1.97419       1.71791
       346       2.69015     -0.707527       2.68172       1.97419       1.69421
       347       2.69892     -0.716274       2.69046       1.97419         1.671
       348       2.70749     -0.724818       2.69901       1.97419        1.6483
       349       2.71579     -0.733095       2.70728       1.97418       1.62629
       350       2.72374     -0.741025        2.7152       1.97418       1.60513
       351       2.73123     -0.748493       2.72267       1.97417       1.58529
       352       2.73811     -0.755364       2.72953       1.97416       1.56709
       353       2.74424     -0.761486       2.73564       1.97416       1.55076
       354       2.74948      -0.76671       2.74086       1.97415       1.53676
       355       2.75368     -0.770905       2.74505       1.97414       1.52539
       356       2.75676     -0.773974       2.74811       1.97414       1.51662
       357       2.75867     -0.775878       2.75002       1.97414       1.51072
       358       2.75945     -0.776651        2.7508       1.97415       1.50796
       359       2.75921     -0.776399       2.75056       1.97416       1.50752
       360       2.75813     -0.775305       2.74948       1.97418       1.50911
       361       2.75645      -0.77361       2.74781        1.9742       1.51246
       362       2.75443     -0.771585        2.7458       1.97421       1.51707
       363       2.75236     -0.769507       2.74374       1.97423       1.52177
       364       2.75048     -0.767614       2.74185       1.97424       1.52655
       365       2.74894     -0.766078       2.74032       1.97424       1.53099
       366       2.74784     -0.764987       2.73923       1.97424       1.53439
       367       2.74719     -0.764342       2.73858       1.97424       1.53727
       368       2.74692     -0.764074        2.7383       1.97423       1.53958
       369       2.74688     -0.764051       2.73827       1.97422       1.54165
       370       2.74692     -0.764105       2.73831       1.97421       1.54366
       371       2.74686     -0.764054       2.73825        1.9742       1.54609
       372       2.74651     -0.763716        2.7379       1.97418       1.54934
       373       2.74571     -0.762925        2.7371       1.97418       1.55387
       374       2.74432     -0.761546       2.73571       1.97417       1.55967
       375       2.74225     -0.759485       2.73365       1.97416       1.56728
       376       2.73945     -0.756698       2.73086       1.97416       1.57656
       377       2.73593     -0.753187       2.72735       1.97417       1.58743
       378       2.73174     -0.749006       2.72318       1.97417       1.60014
       379       2.72697     -0.744245       2.71842       1.97418       1.61422
       380       2.72174     -0.739027       2.71321       1.97418       1.62935
       381       2.71619     -0.733482       2.70767       1.97419       1.64536
       382       2.71041      -0.72772       2.70191       1.97419       1.66195
       383       2.70449     -0.721813       2.69601       1.97419       1.67875
       384       2.69844      -0.71579       2.68998       1.97419       1.69585
       385       2.69225     -0.709627       2.68381       1.97418       1.71334
       386       2.68586     -0.703263       2.67744       1.97418       1.73138
       387       2.67918     -0.696617       2.67078       1.97417       1.74985
       388       2.67216     -0.689626       2.66379       1.97416       1.76897
       389       2.66479     -0.682273       2.65643       1.97416       1.78861
       390       2.65711     -0.674616       2.64879       1.97417       1.80897
       391       2.64931     -0.666817         2.641       1.97418       1.82912
       392       2.64163     -0.659148       2.63335       1.97421       1.84885
       393       2.63447     -0.651983       2.62621       1.97423       1.86722
       394       2.62826      -0.64576       2.62002       1.97426       1.88345
       395       2.62343     -0.640926       2.61521       1.97428       1.89614
       396       2.62037     -0.637857       2.61216        1.9743       1.90479
       397        2.6193      -0.63679       2.61109        1.9743       1.90882
       398       2.62027     -0.637768       2.61206       1.97429       1.90813
       399       2.62312     -0.640626        2.6149       1.97427       1.90295
       400        2.6275     -0.645024       2.61927       1.97424       1.89442
       401       2.63297     -0.650503       2.62472       1.97421       1.88311
       402       2.63903      -0.65657       2.63076       1.97419       1.87024
       403       2.64522     -0.662765       2.63693       1.97417       1.85677
       404       2.65118     -0.668717       2.64287       1.97415       1.84344
       405       2.65665     -0.674171       2.64832       1.97415       1.83083
       406       2.66148     -0.678989       2.65314       1.97415       1.81945
       407       2.66565     -0.683137       2.65729       1.97416       1.80912
       408       2.66919     -0.686657       2.66082       1.97416       1.79995
       409        2.6722     -0.689645       2.66382       1.97417       1.79202
       410       2.67479     -0.692218        2.6664       1.97418       1.78491
       411       2.67707      -0.69449       2.66868       1.97419       1.77818
       412       2.67914     -0.696547       2.67074        1.9742       1.77185
       413       2.68104      -0.69844       2.67264        1.9742       1.76588
       414       2.68277      -0.70017       2.67436       1.97419       1.76022
       415       2.68429     -0.701691       2.67588       1.97419       1.75505
       416       2.68553     -0.702928       2.67711       1.97418       1.75054
       417       2.68637     -0.703781       2.67795       1.97417       1.74659
       418       2.68674     -0.704153       2.67832       1.97417       1.74373
       419       2.68656     -0.703972       2.67813       1.97416       1.74198
       420       2.68578     -0.703198       2.67736       1.97416       1.74155
       421       2.68442     -0.701847       2.67601       1.97416        1.7423
       422       2.68256      -0.69998       2.67415       1.97417       1.74419
       423        2.6803     -0.697715       2.67189       1.97418       1.74687
       424       2.67779     -0.695205       2.66939       1.97419       1.74988
       425       2.67522      -0.69263       2.66683        1.9742       1.75343
       426       2.67276     -0.690173       2.66438       1.97421       1.75642
       427       2.67058     -0.687996       2.66221       1.97422       1.75902
       428       2.66881     -0.686227       2.66045       1.97422       1.76061
       429       2.66751     -0.684935       2.65915       1.97422       1.76104
       430       2.66669     -0.684119       2.65833       1.97421       1.76062
       431       2.66627     -0.683711       2.65791        1.9742       1.75907
       432       2.66612     -0.683574       2.65776       1.97419       1.75703
       433       2.66606     -0.683527        2.6577       1.97417       1.75501
       434       2.66588     -0.683363       2.65752       1.97416       1.75315
       435       2.66539     -0.682885       2.65703       1.97415       1.75165
       436       2.66442     -0.681924       2.65606       1.97414       1.75131
       437       2.66286     -0.680373       2.65451       1.97414       1.75214
       438       2.66068     -0.678197       2.65234       1.97414       1.75431
       439       2.65792     -0.675441       2.64959       1.97415       1.75768
       440       2.65472     -0.672234       2.64639       1.97416       1.76188
       441       2.65126     -0.668775       2.64295       1.97417       1.76661
       442        2.6478     -0.665308        2.6395       1.97419       1.77122
       443       2.64459     -0.662091        2.6363       1.97421       1.77539
       444       2.64186     -0.659363       2.63358       1.97422       1.77823
       445       2.63982     -0.657319       2.63155       1.97423       1.77969
       446       2.63859      -0.65609       2.63032       1.97423       1.77898
       447       2.63824     -0.655739       2.62997       1.97423        1.7765
       448       2.63877     -0.656272        2.6305       1.97423       1.77187
       449       2.64018     -0.657673        2.6319       1.97423       1.76529
       450       2.64244     -0.659929       2.63416       1.97423       1.75643
       451       2.64559     -0.663058       2.63729       1.97423       1.74586
       452       2.64966     -0.667109       2.64135       1.97424       1.73314
       453       2.65472     -0.672154        2.6464       1.97425       1.71804
       454       2.66085     -0.678259       2.65251       1.97425       1.70085
       455       2.66807     -0.685456       2.65971       1.97425       1.68146
       456       2.67634     -0.693702       2.66795       1.97424       1.65981
       457       2.68551     -0.702861       2.67709       1.97423        1.6362
       458       2.69536     -0.712698       2.68691       1.97421       1.61125
       459       2.70556     -0.722887       2.69707       1.97419       1.58596
       460        2.7157     -0.733032       2.70719       1.97416       1.56086
       461       2.72537     -0.742698       2.71683       1.97413       1.53735
       462       2.73413     -0.751448       2.72556       1.97411       1.51619
       463       2.74154     -0.758866       2.73295       1.97408       1.49831
       464       2.74725      -0.76458       2.73864       1.97406       1.48431
       465       2.75095     -0.768276       2.74232       1.97405       1.47513
       466       2.75239     -0.769723       2.74376       1.97404       1.47134
       467       2.75144      -0.76878       2.74281       1.97403       1.47342
       468       2.74806     -0.765415       2.73945       1.97403       1.48095
       469       2.74236     -0.759714       2.73376       1.97404       1.49409
       470       2.73452     -0.751889       2.72595       1.97406       1.51229
       471       2.72491     -0.742278       2.71636       1.97409       1.53489
       472       2.71394     -0.731321       2.70544       1.97412       1.56037
       473       2.70217     -0.719546       2.69369       1.97415       1.58788
       474       2.69015     -0.707536       2.68172       1.97418       1.61593
       475       2.67849     -0.695884        2.6701       1.97421       1.64372
       476       2.66776     -0.685155        2.6594       1.97424       1.66926
       477       2.65844     -0.675841       2.65011       1.97426       1.69196
       478       2.65092     -0.668335       2.64261       1.97428       1.71062
       479       2.64548     -0.662902       2.63719       1.97428       1.72499
